id,generation,evaluation_score,this_image_path,init_image_path,image_strengs,seed,steps,prompt_length,cfg_scale,prompt
59,8,50,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_139.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,4,11,9.4,"['Recreational Equipment', 'Amusement Park', ""Kids' playground"", 'Rocking Animals', 'Swing Area', 'Playground Tables', 'Climbing Features', 'Fun Zone', 'Sliding Equipment', ""Children's Park"", 'Picnic Benches']"
60,8,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_140.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.43,9499,2,11,8.8,"['Rocking animals', 'Play Slide', 'Animal Rocker', 'Swing Set', 'Amusement Spot', ""Children's playground"", 'Recreation Equipment', 'Picnic Tables', 'Fun Area', 'Slides', 'Playground']"
61,8,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_141.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,4619,1,15,7.2,"['Amusement Spot', 'Recreation Gear', 'Slides', ""Children's playground"", 'Playground', 'Play Slide', 'Picnic Tables', 'Rocking animals', 'Animal Rocker', 'Swing Set', 'Fun Area', 'Play zone', 'Recreation Equipment', 'Amusement Equipment', 'Swings']"
62,8,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_142.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,1,15,4.8,"['Rocking animals', 'Climbing Structures', 'Play zone', 'Fun Area', 'Recreation Gear', 'Playground', 'Amusement Spot', 'Slides', 'Swings', ""Children's playground"", 'Picnic Tables', 'Amusement Equipment', 'Animal Rocker', 'Climbing Frame', 'Dining Seats']"
63,8,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_143.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,2,11,8.9,"['Amusement Spot', 'Recreation Gear', 'Slides', ""Children's playground"", 'Picnic Tables', 'Climbing Structures', 'Playground', 'Rocking animals', 'Swing Set', 'Play zone', 'Recreation Equipment']"
64,8,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_144.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,4,20,8.8,"['Animal Ride', 'Seating Area', 'Climbing Walls', 'Kids Slide', 'Swing Station', 'Playground Zone', 'Entertainment Gear', 'Fun Spot', 'Chutes', 'Swingset', 'Preschool Playground', 'Outdoor Tables', 'Rocker Animals', 'Park Benches', 'Climbing Frames', 'Amusement Park', 'Activity Spot', 'Fancy Slides', 'Picnic Area', ""Children's Zone""]"
65,9,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_145.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.28,6172,4,11,9.4,"['Climbing Structures', 'Rocking animals', 'Dining Seats', 'Recreational Equipment', 'Amusement Park', ""Kids' playground"", 'Rocking Animals', 'Swing Area', 'Playground Tables', 'Animal Rocker', 'Climbing Features']"
66,9,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_146.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,916,4,11,9.4,"[""Kids' playground"", 'Amusement Park', 'Swing Area', 'Playground Tables', 'Recreational Equipment', 'Climbing Features', 'Fun Zone', 'Sliding Equipment', 'Rocking Animals', 'Animal Ride', ""Children's Park""]"
67,9,50,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_147.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,1,11,4.7,"['Climbing Structures', 'Rocking animals', 'Play zone', 'Slides', 'Recreation Gear', 'Playground', 'Play Slide', 'Fun Area', 'Dining Seats', 'Swing Set', 'Amusement Spot']"
68,9,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_148.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,3,11,8.8,"[""Children's Playground"", 'Play Equipment', 'Rocking Horses', 'Swing Sets', 'Climbing Apparatus', 'Slides and Climbers', 'Animal Seats', 'Play Area', 'Fun Zone', 'Child-Friendly Features', 'Outdoor Recreation']"
69,9,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_149.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,4,20,8.8,"['Recreation Gear', 'Dining Seats', 'Play Slide', 'Climbing Structures', 'Play zone', 'Rocking animals', 'Swing Set', 'Animal Ride', 'Animal Rocker', 'Fun Area', 'Seating Area', 'Playground', 'Slides', 'Recreation Equipment', 'Climbing Walls', 'Climbing Frame', 'Entertainment Zone', 'Kids Slide', 'Amusement Equipment', 'Swing Station']"
70,9,87,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_150.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9663,4,19,3.2,"['Seating Area', 'Kids Slide', 'Climbing Structures', 'Rocking animals', 'Dining Seats', 'Slides', 'Playground', 'Recreation Gear', 'Play Slide', 'Animal Rocker', 'Play zone', 'Swingset', 'Swing Set', 'Playground Zone', 'Fun Area', 'Recreation Equipment', 'Animal Ride', 'Climbing Frame', 'Amusement Equipment', 'Outdoor Tables']"
71,9,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_151.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,2,11,8.8,"['Animal Rockers', 'Playground Equipment', 'Slide Structures', 'Climbing Frames', 'Recreation Space', 'Seating Area', 'Picnic Benches', ""Kids' Park"", 'Swings', 'Fun Zone', 'Playground Slide']"
72,9,100,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_152.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,4,20,6.9,"['Amusement Park', 'Recreational Equipment', ""Kids' playground"", 'Rocking Animals', 'Swing Area', 'Playground Tables', 'Climbing Features', 'Fun Zone', 'Swingset', 'Seating Area', 'Kids Slide', 'Sliding Equipment', ""Children's Park"", 'Picnic Benches', 'Playground Zone', 'Entertainment Gear', 'Climbing Frames', 'Climbing Walls', 'Animal Ride', 'Outdoor Tables']"
73,10,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_153.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,2,11,6.9,"['Climbing Structures', 'Rocking animals', 'Play zone', 'Playground', 'Play Slide', 'Fun Area', 'Recreation Gear', 'Swing Set', 'Amusement Park', 'Dining Seats', 'Slides']"
74,10,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_154.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.3,1345,4,15,8.8,"['Seating Area', 'Climbing Structures', 'Animal Rockers', 'Playground Equipment', 'Dining Seats', 'Slide Structures', 'Kids Slide', 'Climbing Frames', 'Recreation Space', 'Picnic Benches', ""Kids' Park""]"
75,10,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_155.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,2,13,8.8,"['Amusement Park', 'Rocking Animals', 'Animal Rockers', 'Playground Tables', 'Playground Equipment', 'Slide Structures', 'Recreation Space', 'Picnic Benches', 'Fun Zone', 'Seating Area', ""Kids' Park"", 'Swings', 'Climbing Features', 'Playground Slide', 'Climbing Frames', 'Swingset', 'Kids Slide', 'Swing Area', 'Sliding Equipment', 'Climbing Walls']"
76,10,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_156.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.13,9499,4,11,4.7,"['Climbing Frames', 'Swing Set Area', 'Rocking Ride-ons', 'Playground Zone', 'Slide Equipment', 'Recreational Gear', ""Children's Playground"", 'Animal Rockers', 'Slide Play', 'Fun Zone', 'Seating Area']"
77,10,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_157.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,3,13,6.9,"[""Children's Park"", 'Play Equipment', 'Animal Rockers', 'Swing Set', 'Slides', 'Climbing Frames', 'Recreation Space', 'Fun Zone', 'Seating Area', 'Picnic Benches', 'Rocking Animals', 'Sliding Equipment', 'Playground Structures']"
78,10,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_158.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9663,4,11,4.2,"[""Children's Park"", 'Play Equipment', 'Slides', 'Rocking Animals', 'Swings', 'Seating Areas', 'Climbing Structures', 'Animal Rockers', 'Playground Gear', 'Picnic Tables', 'Recreation Area']"
79,10,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_159.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.68,9499,2,11,2.1,"['Animal Rockers', 'Climbing Structures', 'Rocking animals', 'Play zone', 'Slides', 'Recreation Space', ""Kids' Park"", 'Recreation Gear', 'Playground Equipment', 'Climbing Frames', 'Playground']"
80,10,0,D:\downloads\develop\SD_IGA_system\generated_images\generated_image_160.jpg,D:\downloads\develop\SD_IGA_system\sample_images\yoyogi.jpg,0.26,6345,2,11,8.8,"['Climbing Structures', 'Seating Area', 'Animal Rockers', 'Playground Equipment', 'Slide Structures', 'Climbing Frames', 'Recreation Space', 'Dining Seats', 'Picnic Benches', ""Kids' Park"", 'Swings']"
